,구 분,구 분.1,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,계,발생,590366,585637,617910,624956,606362,579057,574021,535898,501978.0,488288
1,계,검거,485406,415704,383538,382248,383357,384034,411328,412462,395.798,381385
2,살인 주1),발생,1374,1251,1204,984,918,907,919,906,818.0,791
3,살인 주1),검거,1341,1228,1154,960,903,895,899,902,820.0,777
4,강도,발생,6346,4409,3994,2586,1978,1586,1445,1149,965.0,818
5,강도,검거,5895,3866,3385,2239,1856,1546,1456,1168,975.0,818
6,강간·강제추행주2),발생,10215,18220,19491,19619,22292,21045,21280,22193,24106.0,23467
7,강간·강제추행주2),검거,9167,16104,16399,16581,19755,20026,20519,21451,23284.0,22633
8,절도,발생,256590,269410,281359,290055,287704,266059,245121,202874,183565.0,176613
9,절도,검거,177771,145968,112849,106060,118074,119354,126703,118476,113625.0,106535
10,폭력 주3),발생,315841,292347,311862,311712,293470,289460,305256,308776,292524.0,286599
11,폭력 주3),검거,291232,248538,249751,256408,242769,242213,261751,270465,257094.0,250622
